Year,Race,Sex,Average Life Expectancy (Years),Age-adjusted Death Rate,QuestionID,Age(years),Data_Value,Question
2017,All Races,Both Sexes,78.6,731.9,Q044,18 - 24,28.566666666666666,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q044,25 - 34,22.3,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q044,35 - 44,19.72222222222222,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q044,45 - 54,18.109259259259257,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q044,55 - 64,16.853703703703705,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q044,65 or older,16.909259259259258,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q045,18 - 24,30.6,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,All Races,Both Sexes,78.6,731.9,Q045,25 - 34,26.91296296296296,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,All Races,Both Sexes,78.6,731.9,Q045,35 - 44,27.159259259259258,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,All Races,Both Sexes,78.6,731.9,Q045,45 - 54,28.894444444444442,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,All Races,Both Sexes,78.6,731.9,Q045,55 - 64,32.0,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,All Races,Both Sexes,78.6,731.9,Q045,65 or older,37.903703703703705,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2017,All Races,Both Sexes,78.6,731.9,Q046,18 - 24,44.916666666666664,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q046,25 - 34,35.82037037037037,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q046,35 - 44,30.383333333333333,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q046,45 - 54,26.27777777777778,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q046,55 - 64,23.822222222222223,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q046,65 or older,22.944444444444443,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2017,All Races,Both Sexes,78.6,731.9,Q047,18 - 24,19.003703703703703,Percent of adults who engage in no leisure-time physical activity
2017,All Races,Both Sexes,78.6,731.9,Q047,25 - 34,22.87222222222222,Percent of adults who engage in no leisure-time physical activity
2017,All Races,Both Sexes,78.6,731.9,Q047,35 - 44,25.76111111111111,Percent of adults who engage in no leisure-time physical activity
2017,All Races,Both Sexes,78.6,731.9,Q047,45 - 54,28.575925925925926,Percent of adults who engage in no leisure-time physical activity
2017,All Races,Both Sexes,78.6,731.9,Q047,55 - 64,30.1462962962963,Percent of adults who engage in no leisure-time physical activity
2017,All Races,Both Sexes,78.6,731.9,Q047,65 or older,33.08888888888889,Percent of adults who engage in no leisure-time physical activity
2016,All Races,Both Sexes,78.7,728.8,Q036,18 - 24,17.485454545454548,Percent of adults aged 18 years and older who have obesity
2016,All Races,Both Sexes,78.7,728.8,Q036,25 - 34,27.992727272727272,Percent of adults aged 18 years and older who have obesity
2016,All Races,Both Sexes,78.7,728.8,Q036,35 - 44,33.86545454545455,Percent of adults aged 18 years and older who have obesity
2016,All Races,Both Sexes,78.7,728.8,Q036,45 - 54,35.52181818181818,Percent of adults aged 18 years and older who have obesity
2016,All Races,Both Sexes,78.7,728.8,Q036,55 - 64,34.04181818181818,Percent of adults aged 18 years and older who have obesity
2016,All Races,Both Sexes,78.7,728.8,Q036,65 or older,27.869090909090907,Percent of adults aged 18 years and older who have obesity
2016,All Races,Both Sexes,78.7,728.8,Q037,18 - 24,25.930909090909093,Percent of adults aged 18 years and older who have an overweight classification
2016,All Races,Both Sexes,78.7,728.8,Q037,25 - 34,33.64727272727273,Percent of adults aged 18 years and older who have an overweight classification
2016,All Races,Both Sexes,78.7,728.8,Q037,35 - 44,35.24181818181818,Percent of adults aged 18 years and older who have an overweight classification
2016,All Races,Both Sexes,78.7,728.8,Q037,45 - 54,37.04363636363637,Percent of adults aged 18 years and older who have an overweight classification
2016,All Races,Both Sexes,78.7,728.8,Q037,55 - 64,37.554545454545455,Percent of adults aged 18 years and older who have an overweight classification
2016,All Races,Both Sexes,78.7,728.8,Q037,65 or older,39.167272727272724,Percent of adults aged 18 years and older who have an overweight classification
2016,All Races,Both Sexes,78.7,728.8,Q047,18 - 24,15.412727272727274,Percent of adults who engage in no leisure-time physical activity
2016,All Races,Both Sexes,78.7,728.8,Q047,25 - 34,18.574545454545454,Percent of adults who engage in no leisure-time physical activity
2016,All Races,Both Sexes,78.7,728.8,Q047,35 - 44,21.656363636363636,Percent of adults who engage in no leisure-time physical activity
2016,All Races,Both Sexes,78.7,728.8,Q047,45 - 54,24.896363636363635,Percent of adults who engage in no leisure-time physical activity
2016,All Races,Both Sexes,78.7,728.8,Q047,55 - 64,27.734545454545458,Percent of adults who engage in no leisure-time physical activity
2016,All Races,Both Sexes,78.7,728.8,Q047,65 or older,31.73818181818182,Percent of adults who engage in no leisure-time physical activity
2015,All Races,Both Sexes,78.7,733.1,Q036,18 - 24,17.45740740740741,Percent of adults aged 18 years and older who have obesity
2015,All Races,Both Sexes,78.7,733.1,Q036,25 - 34,27.37777777777778,Percent of adults aged 18 years and older who have obesity
2015,All Races,Both Sexes,78.7,733.1,Q036,35 - 44,32.916666666666664,Percent of adults aged 18 years and older who have obesity
2015,All Races,Both Sexes,78.7,733.1,Q036,45 - 54,34.531481481481485,Percent of adults aged 18 years and older who have obesity
2015,All Races,Both Sexes,78.7,733.1,Q036,55 - 64,33.75185185185185,Percent of adults aged 18 years and older who have obesity
2015,All Races,Both Sexes,78.7,733.1,Q036,65 or older,27.76851851851852,Percent of adults aged 18 years and older who have obesity
2015,All Races,Both Sexes,78.7,733.1,Q037,18 - 24,25.28518518518519,Percent of adults aged 18 years and older who have an overweight classification
2015,All Races,Both Sexes,78.7,733.1,Q037,25 - 34,33.81296296296296,Percent of adults aged 18 years and older who have an overweight classification
2015,All Races,Both Sexes,78.7,733.1,Q037,35 - 44,36.27777777777778,Percent of adults aged 18 years and older who have an overweight classification
2015,All Races,Both Sexes,78.7,733.1,Q037,45 - 54,37.379629629629626,Percent of adults aged 18 years and older who have an overweight classification
2015,All Races,Both Sexes,78.7,733.1,Q037,55 - 64,38.26111111111111,Percent of adults aged 18 years and older who have an overweight classification
2015,All Races,Both Sexes,78.7,733.1,Q037,65 or older,39.05925925925926,Percent of adults aged 18 years and older who have an overweight classification
2015,All Races,Both Sexes,78.7,733.1,Q043,18 - 24,54.26111111111111,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q043,25 - 34,50.461111111111116,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q043,35 - 44,49.14259259259259,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q043,45 - 54,49.83148148148148,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q043,55 - 64,50.85,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q043,65 or older,53.088888888888896,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q044,18 - 24,29.762962962962963,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q044,25 - 34,23.38703703703704,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q044,35 - 44,20.0962962962963,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q044,45 - 54,18.562962962962963,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q044,55 - 64,16.803703703703704,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q044,65 or older,16.385185185185183,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q045,18 - 24,31.683333333333334,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q045,25 - 34,27.98148148148148,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q045,35 - 44,28.003703703703703,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q045,45 - 54,30.3,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q045,55 - 64,32.68333333333334,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q045,65 or older,39.01481481481482,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2015,All Races,Both Sexes,78.7,733.1,Q046,18 - 24,45.5462962962963,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q046,25 - 34,36.324074074074076,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q046,35 - 44,30.225925925925928,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q046,45 - 54,26.35,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q046,55 - 64,23.54259259259259,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q046,65 or older,22.47037037037037,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
2015,All Races,Both Sexes,78.7,733.1,Q047,18 - 24,17.70740740740741,Percent of adults who engage in no leisure-time physical activity
2015,All Races,Both Sexes,78.7,733.1,Q047,25 - 34,21.77777777777778,Percent of adults who engage in no leisure-time physical activity
2015,All Races,Both Sexes,78.7,733.1,Q047,35 - 44,25.34259259259259,Percent of adults who engage in no leisure-time physical activity
2015,All Races,Both Sexes,78.7,733.1,Q047,45 - 54,27.94814814814815,Percent of adults who engage in no leisure-time physical activity
2015,All Races,Both Sexes,78.7,733.1,Q047,55 - 64,29.075925925925926,Percent of adults who engage in no leisure-time physical activity
2015,All Races,Both Sexes,78.7,733.1,Q047,65 or older,32.550000000000004,Percent of adults who engage in no leisure-time physical activity
2014,All Races,Both Sexes,78.9,724.6,Q036,18 - 24,16.359259259259257,Percent of adults aged 18 years and older who have obesity
2014,All Races,Both Sexes,78.9,724.6,Q036,25 - 34,28.02962962962963,Percent of adults aged 18 years and older who have obesity
2014,All Races,Both Sexes,78.9,724.6,Q036,35 - 44,33.06481481481482,Percent of adults aged 18 years and older who have obesity
2014,All Races,Both Sexes,78.9,724.6,Q036,45 - 54,33.922222222222224,Percent of adults aged 18 years and older who have obesity
2014,All Races,Both Sexes,78.9,724.6,Q036,55 - 64,33.8537037037037,Percent of adults aged 18 years and older who have obesity
2014,All Races,Both Sexes,78.9,724.6,Q036,65 or older,27.298148148148147,Percent of adults aged 18 years and older who have obesity
2014,All Races,Both Sexes,78.9,724.6,Q037,18 - 24,25.49074074074074,Percent of adults aged 18 years and older who have an overweight classification
2014,All Races,Both Sexes,78.9,724.6,Q037,25 - 34,32.93333333333334,Percent of adults aged 18 years and older who have an overweight classification
2014,All Races,Both Sexes,78.9,724.6,Q037,35 - 44,35.77407407407407,Percent of adults aged 18 years and older who have an overweight classification
2014,All Races,Both Sexes,78.9,724.6,Q037,45 - 54,37.05555555555556,Percent of adults aged 18 years and older who have an overweight classification
2014,All Races,Both Sexes,78.9,724.6,Q037,55 - 64,37.9425925925926,Percent of adults aged 18 years and older who have an overweight classification
2014,All Races,Both Sexes,78.9,724.6,Q037,65 or older,39.720370370370375,Percent of adults aged 18 years and older who have an overweight classification
2014,All Races,Both Sexes,78.9,724.6,Q047,18 - 24,15.52962962962963,Percent of adults who engage in no leisure-time physical activity
2014,All Races,Both Sexes,78.9,724.6,Q047,25 - 34,18.33703703703704,Percent of adults who engage in no leisure-time physical activity
2014,All Races,Both Sexes,78.9,724.6,Q047,35 - 44,21.02592592592593,Percent of adults who engage in no leisure-time physical activity
2014,All Races,Both Sexes,78.9,724.6,Q047,45 - 54,24.374074074074073,Percent of adults who engage in no leisure-time physical activity
2014,All Races,Both Sexes,78.9,724.6,Q047,55 - 64,26.71851851851852,Percent of adults who engage in no leisure-time physical activity
2014,All Races,Both Sexes,78.9,724.6,Q047,65 or older,31.598148148148148,Percent of adults who engage in no leisure-time physical activity
2013,All Races,Both Sexes,78.8,731.9,Q036,18 - 24,15.760377358490565,Percent of adults aged 18 years and older who have obesity
2013,All Races,Both Sexes,78.8,731.9,Q036,25 - 34,27.141509433962263,Percent of adults aged 18 years and older who have obesity
2013,All Races,Both Sexes,78.8,731.9,Q036,35 - 44,32.362264150943396,Percent of adults aged 18 years and older who have obesity
2013,All Races,Both Sexes,78.8,731.9,Q036,45 - 54,33.824528301886794,Percent of adults aged 18 years and older who have obesity
2013,All Races,Both Sexes,78.8,731.9,Q036,55 - 64,33.39811320754717,Percent of adults aged 18 years and older who have obesity
2013,All Races,Both Sexes,78.8,731.9,Q036,65 or older,26.547169811320753,Percent of adults aged 18 years and older who have obesity
2013,All Races,Both Sexes,78.8,731.9,Q037,18 - 24,26.07547169811321,Percent of adults aged 18 years and older who have an overweight classification
2013,All Races,Both Sexes,78.8,731.9,Q037,25 - 34,33.4622641509434,Percent of adults aged 18 years and older who have an overweight classification
2013,All Races,Both Sexes,78.8,731.9,Q037,35 - 44,36.158490566037734,Percent of adults aged 18 years and older who have an overweight classification
2013,All Races,Both Sexes,78.8,731.9,Q037,45 - 54,37.033962264150944,Percent of adults aged 18 years and older who have an overweight classification
2013,All Races,Both Sexes,78.8,731.9,Q037,55 - 64,38.075471698113205,Percent of adults aged 18 years and older who have an overweight classification
2013,All Races,Both Sexes,78.8,731.9,Q037,65 or older,39.5433962264151,Percent of adults aged 18 years and older who have an overweight classification
2013,All Races,Both Sexes,78.8,731.9,Q043,18 - 24,53.76538461538462,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2013,All Races,Both Sexes,78.8,731.9,Q043,25 - 34,50.32884615384615,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2013,All Races,Both Sexes,78.8,731.9,Q043,35 - 44,49.25192307692308,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2013,All Races,Both Sexes,78.8,731.9,Q043,45 - 54,49.70192307692308,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2013,All Races,Both Sexes,78.8,731.9,Q043,55 - 64,50.03076923076923,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2013,All Races,Both Sexes,78.8,731.9,Q043,65 or older,52.482692307692304,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2013,All Races,Both Sexes,78.8,731.9,Q044,18 - 24,29.89423076923077,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2013,All Races,Both Sexes,78.8,731.9,Q044,25 - 34,22.98846153846154,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2013,All Races,Both Sexes,78.8,731.9,Q044,35 - 44,19.83653846153846,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2013,All Races,Both Sexes,78.8,731.9,Q044,45 - 54,18.48076923076923,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2013,All Races,Both Sexes,78.8,731.9,Q044,55 - 64,16.690384615384616,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2013,All Races,Both Sexes,78.8,731.9,Q044,65 or older,15.913461538461538,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
2013,All Races,Both Sexes,78.8,731.9,Q045,18 - 24,32.42115384615385,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2013,All Races,Both Sexes,78.8,731.9,Q045,25 - 34,28.361538461538462,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2013,All Races,Both Sexes,78.8,731.9,Q045,35 - 44,28.59423076923077,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
2013,All Races,Both Sexes,78.8,731.9,Q045,45 - 54,30.055769230769233,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
